Region,Country,Both sexes,Female,Male
Europe,Russian Federation,58.1,55.4,61.4
Europe,Serbia,60,47,73.8
Europe,Slovakia,71.3,60,82.9
Europe,Slovenia,13.5,7.3,19.7
Europe,Spain,68.6,57,80.9
Europe,Sweden,73,62.2,83.9
Europe,Switzerland,81.2,73,89.6
Europe,Tajikistan,20.7,11.8,29.6
Europe,The former Yugoslav Republic of Macedonia,53.7,39.9,67.7
Europe,Turkmenistan,30.4,19,42.5
Europe,Türkiye,6.9,3,11
Europe,Ukraine,61.8,56.1,68.7
Europe,United Kingdom of Great Britain and Northern Ireland,73.4,63,84.3
Europe,Uzbekistan,20.8,12,30.1
South-East Asia,Bangladesh,2.2,1,3.5
South-East Asia,Bhutan,29.6,17.3,39.8
South-East Asia,Democratic People's Republic of Korea,40.3,27.7,53.7
South-East Asia,India,38.8,25.4,51.4
South-East Asia,Indonesia,22.7,13.2,32.3
South-East Asia,Maldives,7.9,3.9,12.1
South-East Asia,Myanmar,27.1,16.5,38.3
South-East Asia,Nepal,27.1,17.1,38.4
South-East Asia,Sri Lanka,28.7,17.9,40.6
South-East Asia,Thailand,40.9,27.7,54.6
South-East Asia,Timor-Leste,21.6,12.4,30.6
Western Pacific,Australia,79.4,70.6,88.3
Western Pacific,Brunei Darussalam,33.3,29.1,37.3
Western Pacific,Cambodia,30.9,19.6,43.2
Western Pacific,China,55.9,42.6,68.6
Western Pacific,Cook Islands,50.6,37,64.5
Western Pacific,Fiji,17.7,9.8,25.5
Western Pacific,Japan,57,43.7,71.3
Western Pacific,Kiribati,12.1,6.5,18.1
Western Pacific,Lao People's Democratic Republic,40,27,53.4
Western Pacific,Malaysia,29.6,18.2,41.2
Western Pacific,Micronesia (Federated States of),15.2,8.1,22
Western Pacific,Mongolia,33.6,21.5,46.3
Western Pacific,Nauru,22,12.8,31.5
Western Pacific,New Zealand,74.6,64.8,85.1
Western Pacific,Niue,33.2,21.1,45.5
Western Pacific,Papua New Guinea,13.7,7.3,19.9
Western Pacific,Philippines,33.1,21,45.3
Western Pacific,Republic of Korea,63.9,51.2,77
Western Pacific,Samoa,16,8.5,22.9
Western Pacific,Singapore,70,58.8,81.7
Western Pacific,Solomon Islands,0.7,0.3,1.1
Western Pacific,Tonga,14.2,7.7,20.9
Western Pacific,Tuvalu,14.4,7.8,21.1
Western Pacific,Vanuatu,13.6,7.4,19.9
Western Pacific,Viet Nam,99.4,23.9,50
