,Unnamed: 0,Country,wine_as_share_alcohol_consumption,beer_as_share_alcohol_consumption,spirits_as_share_alcohol_consumption,tot_alcohol_consumption_per_capita_liters,gdp_per_capita,Population,percent_who_have_not_drank_alcohol_in_last_year,perc_life_no_drink,total_alcohol_consumption_per_capita_liters,percent_who_have_drank_alcohol_in_last_year,prev_alc_use_disorders_age_10_14,prev_alc_use_disorders_age_15_19,prev_alc_use_disorders_all_ages,prev_alc_use_disorders_age_25_29,prev_alc_use_disorders_age_30_34,prev_alc_use_disorders_age_20_24,prev_alc_use_disorders_age_70+,prev_alc_use_disorders_age_15_49,prev_alc_use_disorders_age_5_14,prev_alc_use_disorders_age_50_69,prev_alc_use_disorders_age_standardized,daly_alc_use_disorders_all_ages,daly_alc_use_disorders_70+,daly_alc_use_disorders_5_14,daly_alc_use_disorders_15_49,daly_alc_use_disorders__all_ages_standardized,daly_alc_use_disorders_50_69,share_alc_use_disorders_both_sexes,share_alc_use_disorders_female,share_alc_use_disorders_male,perc_heavy_drinkers_both_sexes,perc_heavy_drinkers_female,perc_heavy_drinkers_male,perc_consume_alc_past12,perc_consume_alc_past12Female,perc_consume_alc_past12Male,Region,perc_dependent,perc_dependent_female,perc_dependent_male,alc_attributed_fraction_deaths,too_many_alc_deaths
0,0,Albania,26.5,34.3,37.6,6.739999771118164,11878.4541015625,2882482.0,49.0,25.2,6.739999771118164,51.0,0.09,1.04,1.81,3.37,3.29,2.85,1.48,2.52,0.05,1.67,1.69,194.99,158.37,4.51,273.25,178.0,194.05,5.9,2.1,9.9,44.7,23.7,57.4,51.0,37.6,65.0,Europe,3.4,1.4,5.5,6.4,1
1,1,Algeria,24.4,57.3,18.3,0.9300000071525574,11696.9501953125,39543148.0,96.8,93.5,0.9300000071525574,3.2,0.04,0.29,0.46,0.84,0.86,0.7,0.23,0.69,0.02,0.37,0.43,54.44,33.16,1.89,82.94,50.99,53.71,0.8,0.0,1.5,19.3,6.2,23.5,3.2,1.5,4.8,Africa,0.7,0.0,1.4,1.0,0
2,3,Angola,17.6,70.3,11.3,7.960000038146973,8036.4111328125,28127724.0,52.3,33.9,7.960000038146973,47.7,0.06,0.44,0.81,1.87,2.16,1.26,0.75,1.5,0.03,1.4,1.08,104.18,134.47,2.35,183.29,151.64,280.93,6.0,1.7,10.6,81.6,66.8,90.1,47.7,34.3,61.6,Africa,2.1,0.7,3.6,6.8,1
3,4,Antigua and Barbuda,18.3,33.0,45.4,5.889999866485596,18594.544921875,89958.0,50.6,27.7,5.889999866485596,49.4,0.08,1.08,2.35,3.56,3.51,3.08,2.15,2.98,0.05,2.83,2.11,481.46,475.68,4.08,514.27,416.21,897.08,6.5,3.7,9.8,47.2,25.9,60.9,49.4,36.5,63.9,Americas,2.7,1.8,3.8,4.5,0
4,5,Argentina,40.2,39.9,9.6,9.550000190734863,23933.88671875,43257064.0,32.6,6.7,9.550000190734863,67.4,0.13,1.28,2.32,4.07,4.09,3.48,1.57,3.4,0.08,2.17,2.23,270.85,218.19,5.64,374.29,256.52,360.96,6.8,3.0,10.8,32.5,15.2,45.5,67.4,55.7,79.9,Americas,2.9,1.2,4.8,4.4,0
5,6,Armenia,7.0,10.6,82.3,5.840000152587891,11321.3330078125,2878598.0,74.0,45.5,5.840000152587891,26.0,0.1,1.18,2.2,3.6,3.57,3.08,2.3,2.97,0.05,2.1,1.97,284.82,288.74,4.3,378.71,250.15,323.0,5.7,2.2,9.9,40.3,18.9,51.6,26.0,16.2,38.0,Europe,3.2,1.4,5.5,6.0,0
6,7,Australia,37.5,39.9,12.9,10.829999923706056,47569.29296875,23820240.0,20.6,8.5,10.829999923706056,79.4,0.13,1.33,2.13,3.46,3.35,3.3,1.28,3.13,0.07,1.92,2.01,280.16,187.44,5.42,397.01,251.0,307.93,4.4,2.7,6.1,45.3,26.4,60.7,79.4,70.6,88.3,Western Pacific,1.5,0.8,2.2,4.6,0
7,8,Austria,31.6,53.5,14.9,12.06999969482422,52873.859375,8642422.0,21.9,8.8,12.06999969482422,78.1,0.16,1.91,3.05,5.15,4.63,4.92,1.99,3.99,0.09,3.23,2.78,453.2,390.49,7.47,479.87,362.98,684.82,12.0,6.1,18.1,42.5,23.8,58.0,78.1,68.9,87.7,Europe,5.8,3.0,8.8,5.3,0
8,9,Azerbaijan,36.9,61.5,0.0,4.579999923706055,14852.611328125,9863485.0,78.1,53.2,4.579999923706055,21.9,0.11,1.51,2.81,4.74,4.67,4.14,3.23,3.84,0.06,2.59,2.57,357.82,362.7,4.83,495.94,322.75,380.67,6.0,2.1,10.0,36.9,15.6,46.0,21.9,12.8,31.6,Europe,3.4,1.4,5.5,5.9,0
9,10,Bahamas,16.6,39.2,41.2,4.550000190734863,36023.59375,392707.0,56.2,33.0,4.550000190734863,43.8,0.07,0.87,2.24,3.49,3.83,2.57,1.75,3.02,0.04,2.55,2.05,386.77,287.04,3.68,481.55,345.1,617.65,6.7,3.7,9.9,43.5,21.7,55.7,43.8,30.5,57.9,Americas,2.8,1.8,3.9,4.7,0
